HomeTeam,AwayTeam,HomeForm_raw,AwayForm_raw,HomeOdds_raw,DrawOdds_raw,AwayOdds_raw,HomeForm,AwayForm,HomeOdds,DrawOdds,AwayOdds,FormDiff,FormGroup,Prob_Home,Prob_Draw,Prob_Away,EV_Home,EV_Draw,EV_Away,BestSide,BestEV,MarketImpHome,MarketImpAway,MarketImpDraw,OddsHome,OddsDraw,OddsAway,Decision,StakeFlat,StakeKellyUnit,ProbMargin
Omonia Nicosia,Ethnikos Achna,2.5,0.13,1.24,5.5,8.75,2.5,0.13,1.24,5.5,8.75,2.37,Home Strong,0.9385428566217907,0.061457143378209386,0.0,0.16379314221102037,-0.6619857114198484,-1.0,Home,0.16379314221102037,0.7314385591610305,0.10365529295539173,0.16490614788357777,1.24,5.5,8.75,NO_BET,0.0,0.0,0.2071042974607602
CS U Craiova,Csikszereda,2.18,0.4,1.19,6.65,11.8,2.18,0.4,1.19,6.65,11.8,1.7800000000000002,Home Strong,0.8683244127192745,0.1290949421194351,0.0025806451612903226,0.033306051135936654,-0.14151863490575656,-0.9695483870967742,Home,0.033306051135936654,0.7813752483184051,0.07879970724566966,0.1398250444359251,1.19,6.65,11.8,NO_BET,0.0,0.0,0.08694916440086942
Britannia,Dakota,1.0,3.0,3.8,4.5,1.57,1.0,3.0,3.8,4.5,1.57,-2.0,Away Strong,0.0,0.2836844016852902,0.7163155983147099,-1.0,0.27657980758380596,0.12461548935409472,Draw,0.27657980758380596,0.23447612093856826,0.5675218213799741,0.19800205768145765,3.8,4.5,1.57,BET,1.0,0.019755700541700418,0.08568234400383254
Al Ahli,Al Ramtha,1.3,1.4,3.58,3.01,1.9,1.3,1.4,3.58,3.01,1.9,-0.09999999999999987,Balanced,0.1460094658360913,0.11569920311893644,0.7382913310449722,-0.4772861123067931,-0.6517453986120013,0.40275352898544714,Away,0.40275352898544714,0.2454843583668143,0.46254421208062907,0.29197142955255656,3.58,3.01,1.9,NO_BET,0.0,0.0,0.2757471189643432
Al Faisaly,Shabab Al Ordon,2.3,1.6,1.15,6.2,12.5,2.3,1.6,1.15,6.2,12.5,0.6999999999999997,Balanced,0.6341909553328154,0.33329844623515587,0.03251059843202868,-0.27068040136726235,1.0664503666579663,-0.5936175195996416,Draw,1.0664503666579663,0.782788748043028,0.07201656481995858,0.14519468713701325,1.15,6.2,12.5,NO_BET,0.0,0.0,0.18810375909814261
Katsina United,Rivers United,1.89,1.38,7.42,3.7,1.42,1.89,1.38,7.42,3.7,1.42,0.51,Balanced,0.6633989250769461,0.033320793837806166,0.3032802810852477,3.9224200240709397,-0.8767130628001172,-0.5693420008589483,Home,3.9224200240709397,0.12149549999537512,0.6348567675814673,0.24364773242315765,7.42,3.7,1.42,NO_BET,0.0,0.0,0.541903425081571
Al Seeb,Bahla,2.5,2.25,1.52,3.7,7.35,2.5,2.25,1.52,3.7,7.35,0.25,Balanced,0.3713383324141279,0.5472524922017834,0.08140917538408868,-0.4355657347305256,1.0248342211465986,-0.4016425609269483,Draw,1.0248342211465986,0.6181946307199201,0.12784433179513993,0.2539610374849401,1.52,3.7,7.35,NO_BET,0.0,0.0,0.2932914547168433
Moi Kompong Dewa,Kirivong Sok Sen Chey,2.0,0.7,1.93,3.42,3.4,2.0,0.7,1.93,3.42,3.4,1.3,Home Strong,0.920424203452578,0.07190634050501947,0.007669456042402499,0.7764187126634756,-0.7540803154728334,-0.9739238494558315,Home,0.7764187126634756,0.46904875234968096,0.2662541447161424,0.26469710293417664,1.93,3.42,3.4,BET,1.0,0.20871470770523537,0.45137545110289706
Al Jazira,Burgan,1.4,1.6,2.1,3.15,3.1,1.4,1.6,2.1,3.15,3.1,-0.20000000000000018,Balanced,0.14487848539366033,0.5432078663020613,0.3119136483042785,-0.6957551806733133,0.711104778851493,-0.033067690256736726,Draw,0.711104778851493,0.42660550458715596,0.2889908256880734,0.2844036697247706,2.1,3.15,3.1,NO_BET,0.0,0.0,0.2588041965772907
Yarmouk,Sporty,2.0,0.0,1.2,5.0,11.5,2.0,0.0,1.2,5.0,11.5,2.0,Home Strong,0.8897614774459299,0.10761534737158818,0.0026231751824817512,0.06771377293511582,-0.4619232631420591,-0.9698334854014599,Home,0.06771377293511582,0.7438551099611902,0.07761966364812418,0.17852522639068563,1.2,5.0,11.5,NO_BET,0.0,0.0,0.14590636748473973
Nouadhibou,AC Douane,2.33,2.0,1.68,3.0,4.8,2.33,2.0,1.68,3.0,4.8,0.33000000000000007,Balanced,0.4337839964870442,0.4665453189110016,0.0996706846019542,-0.2712428859017658,0.3996359567330048,-0.5215807139106199,Draw,0.3996359567330048,0.5235602094240838,0.18324607329842935,0.2931937172774869,1.68,3.0,4.8,NO_BET,0.0,0.0,0.1733516016335147
SLIFA Mount Aureol,Diamond Stars,1.5,1.0,2.2,3.1,2.85,1.5,1.0,2.2,3.1,2.85,0.5,Balanced,0.6940503378887695,0.22672171180620423,0.07922795030502636,0.5269107433552929,-0.29716269340076684,-0.7742003416306749,Home,0.5269107433552929,0.40296465222348915,0.31106043329532496,0.28597491448118584,2.2,3.1,2.85,NO_BET,0.0,0.0,0.2910856856652803
